county,aqi,pollutant,number_of_sites_reporting,date
Hamilton,38,Ozone,1,2021-02-13
Hamilton,36,Ozone,1,2021-02-14
Hamilton,35,Ozone,1,2021-02-15
Hamilton,31,Ozone,1,2021-02-16
Hamilton,36,Ozone,1,2021-02-17
Hamilton,36,Ozone,1,2021-02-18
Hamilton,35,Ozone,1,2021-02-19
Hamilton,40,Ozone,1,2021-02-20
Hamilton,39,Ozone,1,2021-02-21
Hamilton,44,Ozone,1,2021-02-22
Hamilton,44,Ozone,1,2021-02-23
Hamilton,40,Ozone,1,2021-02-24
Hamilton,40,Ozone,1,2021-02-25
Hamilton,40,Ozone,1,2021-02-26
Hamilton,43,Ozone,1,2021-02-27
Hamilton,40,Ozone,1,2021-02-28
Hamilton,38,Ozone,1,2021-03-01
Hamilton,40,Ozone,1,2021-03-02
Hamilton,39,Ozone,1,2021-03-03
Hamilton,40,Ozone,1,2021-03-04
Hamilton,42,Ozone,1,2021-03-05
Hamilton,37,Ozone,1,2021-03-06
Hamilton,39,Ozone,1,2021-03-07
Hamilton,44,Ozone,1,2021-03-08
Hamilton,41,Ozone,1,2021-03-09
Hamilton,48,Ozone,1,2021-03-10
Hamilton,64,Ozone,1,2021-03-11
Hamilton,44,Ozone,1,2021-03-12
Hamilton,41,Ozone,1,2021-03-13
Hamilton,41,Ozone,1,2021-03-14
Hamilton,41,Ozone,1,2021-03-15
Hamilton,41,Ozone,1,2021-03-16
Hamilton,39,Ozone,1,2021-03-17
Hamilton,38,Ozone,1,2021-03-18
Hamilton,41,Ozone,1,2021-03-19
Hamilton,44,Ozone,1,2021-03-20
Hamilton,44,Ozone,1,2021-03-21
Hamilton,50,Ozone,1,2021-03-22
Hamilton,58,Ozone,1,2021-03-23
Hamilton,33,Ozone,1,2021-03-24
Hamilton,35,Ozone,1,2021-03-25
Hamilton,30,Ozone,1,2021-03-26
Hamilton,31,Ozone,1,2021-03-27
Hamilton,38,Ozone,1,2021-03-28
Hamilton,39,Ozone,1,2021-03-29
Hamilton,46,Ozone,1,2021-03-30
Hamilton,40,Ozone,1,2021-03-31
Jefferson,33,Ozone,1,2021-01-01
Jefferson,31,Ozone,1,2021-01-02
Jefferson,31,Ozone,1,2021-01-03
Jefferson,17,Ozone,1,2021-01-04
Jefferson,24,Ozone,1,2021-01-05
Jefferson,31,Ozone,1,2021-01-06
Jefferson,30,Ozone,1,2021-01-07
Jefferson,30,Ozone,1,2021-01-08
Jefferson,32,Ozone,1,2021-01-09
Jefferson,31,Ozone,1,2021-01-10
Jefferson,31,Ozone,1,2021-01-11
Jefferson,27,Ozone,1,2021-01-12
Jefferson,24,Ozone,1,2021-01-13
Jefferson,19,Ozone,1,2021-01-14
Jefferson,27,Ozone,1,2021-01-15
Jefferson,25,Ozone,1,2021-01-16
Jefferson,29,Ozone,1,2021-01-18
Jefferson,28,Ozone,1,2021-01-19
Jefferson,31,Ozone,1,2021-01-20
Jefferson,31,Ozone,1,2021-01-21
Jefferson,29,Ozone,1,2021-01-22
Jefferson,31,Ozone,1,2021-01-23
Jefferson,36,Ozone,1,2021-01-24
Jefferson,35,Ozone,1,2021-01-25
Jefferson,33,Ozone,1,2021-01-26
Jefferson,33,Ozone,1,2021-01-27
Jefferson,32,Ozone,1,2021-01-28
Jefferson,34,Ozone,1,2021-01-29
Jefferson,34,Ozone,1,2021-01-30
Jefferson,34,Ozone,1,2021-01-31
Jefferson,31,Ozone,1,2021-02-01
Jefferson,37,Ozone,1,2021-02-02
Jefferson,40,Ozone,1,2021-02-03
Jefferson,39,Ozone,1,2021-02-04
Jefferson,37,Ozone,1,2021-02-05
Jefferson,33,Ozone,1,2021-02-06
Jefferson,37,Ozone,1,2021-02-07
Jefferson,36,Ozone,1,2021-02-08
Jefferson,37,Ozone,1,2021-02-09
Jefferson,40,Ozone,1,2021-02-10
Jefferson,38,Ozone,1,2021-02-11
