county,deaths,date
Warren,35,2021-01-13
Washington,20,2021-01-13
Wayne,50,2021-01-13
Westchester,1763,2021-01-13
Wyoming,40,2021-01-13
Yates,16,2021-01-13
Albany,248,2021-01-14
Allegany,75,2021-01-14
Bronx,3647,2021-01-14
Broome,248,2021-01-14
Cattaraugus,60,2021-01-14
Cayuga,68,2021-01-14
Chautauqua,51,2021-01-14
Chemung,107,2021-01-14
Chenango,38,2021-01-14
Clinton,13,2021-01-14
Columbia,66,2021-01-14
Cortland,52,2021-01-14
Delaware,16,2021-01-14
Dutchess,290,2021-01-14
Erie,1339,2021-01-14
Essex,16,2021-01-14
Franklin,9,2021-01-14
Fulton,47,2021-01-14
Genesee,91,2021-01-14
Greene,51,2021-01-14
Hamilton,1,2021-01-14
Herkimer,46,2021-01-14
Jefferson,20,2021-01-14
Kings,5632,2021-01-14
Lewis,22,2021-01-14
Livingston,36,2021-01-14
Madison,75,2021-01-14
Manhattan,2329,2021-01-14
Monroe,737,2021-01-14
Montgomery,71,2021-01-14
Nassau,2518,2021-01-14
Niagara,233,2021-01-14
Non-NYS,163,2021-01-14
Oneida,331,2021-01-14
Onondaga,517,2021-01-14
Ontario,77,2021-01-14
Orange,562,2021-01-14
Orleans,67,2021-01-14
Oswego,62,2021-01-14
Otsego,21,2021-01-14
Putnam,70,2021-01-14
Queens,5562,2021-01-14
Rensselaer,101,2021-01-14
Richmond,939,2021-01-14
Rockland,615,2021-01-14
Saratoga,76,2021-01-14
Schenectady,116,2021-01-14
Schoharie,5,2021-01-14
Schuyler,10,2021-01-14
Seneca,45,2021-01-14
St. Lawrence,55,2021-01-14
Statewide Total,32566,2021-01-14
Steuben,130,2021-01-14
Suffolk,2545,2021-01-14
Sullivan,48,2021-01-14
Tioga,54,2021-01-14
Tompkins,22,2021-01-14
Ulster,183,2021-01-14
Warren,36,2021-01-14
Washington,21,2021-01-14
Wayne,50,2021-01-14
Westchester,1774,2021-01-14
Wyoming,41,2021-01-14
Yates,16,2021-01-14
Albany,251,2021-01-15
Allegany,75,2021-01-15
Bronx,3655,2021-01-15
Broome,249,2021-01-15
Cattaraugus,60,2021-01-15
Cayuga,69,2021-01-15
Chautauqua,54,2021-01-15
