Report Date,County,Place of Fatality,Deaths by County of Residence
1/12/21,Bronx,3323,3637
1/12/21,Broome,260,240
1/12/21,Cattaraugus,53,58
1/12/21,Cayuga,52,60
1/12/21,Chautauqua,48,46
1/12/21,Chemung,130,107
1/12/21,Chenango,27,35
1/12/21,Clinton,14,12
1/12/21,Columbia,64,66
1/12/21,Cortland,48,51
1/12/21,Delaware,6,14
1/12/21,Dutchess,299,280
1/12/21,Erie,1416,1320
1/12/21,Essex,13,16
1/12/21,Franklin,8,9
1/12/21,Fulton,31,45
1/12/21,Genesee,80,87
1/12/21,Greene,20,46
1/12/21,Hamilton,0,1
1/12/21,Herkimer,17,40
1/12/21,Jefferson,14,17
1/12/21,Kings,5027,5586
1/12/21,Lewis,7,21
1/12/21,Livingston,17,33
1/12/21,Madison,69,73
1/12/21,Manhattan,3741,2318
1/12/21,Monroe,812,724
1/12/21,Montgomery,62,67
1/12/21,Nassau,3062,2504
1/12/21,Niagara,164,227
1/12/21,Non-NYS,0,161
1/12/21,Oneida,324,320
1/12/21,Onondaga,561,508
1/12/21,Ontario,92,76
1/12/21,Orange,576,556
1/12/21,Orleans,42,65
1/12/21,Oswego,48,61
1/12/21,Otsego,23,20
1/12/21,Putnam,69,70
1/12/21,Queens,4442,5523
1/12/21,Rensselaer,83,98
1/12/21,Richmond,925,931
1/12/21,Rockland,569,611
1/12/21,Saratoga,43,65
1/12/21,Schenectady,101,112
1/12/21,Schoharie,0,5
1/12/21,Schuyler,4,10
1/12/21,Seneca,28,44
1/12/21,St. Lawrence,52,52
1/12/21,Statewide Total,32175,32175
1/12/21,Steuben,111,128
1/12/21,Suffolk,2547,2502
1/12/21,Sullivan,41,48
1/12/21,Tioga,39,54
1/12/21,Tompkins,23,20
1/12/21,Ulster,106,175
1/12/21,Warren,44,35
1/12/21,Washington,13,20
1/12/21,Wayne,25,48
1/12/21,Westchester,1903,1750
1/12/21,Wyoming,27,36
1/12/21,Yates,10,15
1/13/21,Albany,370,245
1/13/21,Allegany,54,75
1/13/21,Bronx,3330,3644
1/13/21,Broome,265,245
1/13/21,Cattaraugus,54,59
1/13/21,Cayuga,55,63
1/13/21,Chautauqua,48,46
1/13/21,Chemung,130,107
1/13/21,Chenango,29,37
1/13/21,Clinton,15,13
1/13/21,Columbia,64,66
1/13/21,Cortland,49,52
1/13/21,Delaware,7,16
1/13/21,Dutchess,307,286
1/13/21,Erie,1429,1333
1/13/21,Essex,13,16
1/13/21,Franklin,8,9
1/13/21,Fulton,34,47
1/13/21,Genesee,83,90
1/13/21,Greene,21,47
1/13/21,Hamilton,0,1
1/13/21,Herkimer,19,45
1/13/21,Jefferson,15,19
1/13/21,Kings,5046,5609
1/13/21,Lewis,7,21
1/13/21,Livingston,19,34
1/13/21,Madison,70,74
1/13/21,Manhattan,3756,2323
1/13/21,Monroe,819,730
1/13/21,Montgomery,64,70
1/13/21,Nassau,3068,2508
1/13/21,Niagara,166,229
1/13/21,Non-NYS,0,162
1/13/21,Oneida,331,326
1/13/21,Onondaga,565,511
1/13/21,Ontario,92,76
1/13/21,Orange,577,558
1/13/21,Orleans,42,65
1/13/21,Oswego,49,62
1/13/21,Otsego,27,21
1/13/21,Putnam,69,70
1/13/21,Queens,4457,5544
1/13/21,Rensselaer,85,100
